id,team_api_id,team_fifa_api_id,team_long_name,team_short_name,transfers_name
1,9987,673.0,KRC Genk,GEN,KRC Genk
2,9993,675.0,Beerschot AC,BAC,Beerschot AC
3,10000,15005.0,SV Zulte-Waregem,ZUL,Zulte Waregem
4,9994,2007.0,Sporting Lokeren,LOK,KSC Lokeren
5,9984,1750.0,KSV Cercle Brugge,CEB,Club Brugge
6,8635,229.0,RSC Anderlecht,AND,RSC Anderlecht
7,9991,674.0,KAA Gent,GEN,KAA Gent
8,9998,1747.0,RAEC Mons,MON,
9,7947,,FCV Dender EH,DEN,
10,9985,232.0,Standard de Liège,STL,Standard Liège
11,8203,110724.0,KV Mechelen,MEC,KV Mechelen
12,8342,231.0,Club Brugge KV,CLB,Club Brugge
13,9999,546.0,KSV Roeselare,ROS,
14,8571,100081.0,KV Kortrijk,KOR,
15,4049,,Tubize,TUB,
16,9996,111560.0,Royal Excel Mouscron,MOU,Exc. Mouscron
17,10001,681.0,KVC Westerlo,WES,KVC Westerlo
18,9986,670.0,Sporting Charleroi,CHA,RSC Charleroi
614,9997,680.0,Sint-Truidense VV,STT,
1034,9989,239.0,Lierse SK,LIE,Lierse SK
1042,6351,2013.0,KAS Eupen,EUP,KAS Eupen
1513,1773,100087.0,Oud-Heverlee Leuven,O-H,
2004,8475,110913.0,Waasland-Beveren,WAA,
2476,8573,682.0,KV Oostende,OOS,KV Oostende
2510,274581,111560.0,Royal Excel Mouscron,MOP,Exc. Mouscron
3457,10260,11.0,Manchester United,MUN,Man Utd
3458,10261,13.0,Newcastle United,NEW,Newcastle
3459,9825,1.0,Arsenal,ARS,Arsenal
3460,8659,109.0,West Bromwich Albion,WBA,West Brom
3461,8472,106.0,Sunderland,SUN,Sunderland
3462,8650,9.0,Liverpool,LIV,Liverpool
3463,8654,19.0,West Ham United,WHU,West Ham
3464,8528,1917.0,Wigan Athletic,WIG,Wigan
3465,10252,2.0,Aston Villa,AVL,Aston Villa
3466,8456,10.0,Manchester City,MCI,Man City
3467,8668,7.0,Everton,EVE,Everton
3468,8655,3.0,Blackburn Rovers,BLB,Blackburn
3469,8549,12.0,Middlesbrough,MID,Middlesbrough
3470,8586,18.0,Tottenham Hotspur,TOT,Spurs
3471,8559,4.0,Bolton Wanderers,BOL,Bolton
3472,10194,1806.0,Stoke City,STK,Stoke City
3473,8667,1952.0,Hull City,HUL,Hull City
3474,9879,144.0,Fulham,FUL,Fulham
3475,8455,5.0,Chelsea,CHE,Chelsea
3476,8462,1790.0,Portsmouth,POR,Portsmouth
4218,8658,88.0,Birmingham City,BIR,Birmingham
4225,8602,110.0,Wolverhampton Wanderers,WOL,Wolves
4234,8191,1796.0,Burnley,BUR,Burnley
4996,8483,1926.0,Blackpool,BLA,Blackpool
5744,10003,1960.0,Swansea City,SWA,Swansea
5747,10172,15.0,Queens Park Rangers,QPR,QPR
5756,9850,1792.0,Norwich City,NOR,Norwich
6504,8466,17.0,Southampton,SOU,Southampton
