original_team,normalized_team,matched_logo_name,match_score,matched_deduped_team,match_score_meta,logo_country,logo_league,logo_filename,city,geocode_query,latitude,longitude
Tubize,tubize,vizela,50.0,beerhot,30.76923076923077,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Tubize,"Tubize, Belgium",50.6904188,4.2005756166386465
Royal Excel Mouscron,royal excel mouron,royal antwerp,51.61290322580645,zulte waregem,32.25806451612904,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Royal Excel Mouscron,"Royal Excel Mouscron, Belgium",,
KVC Westerlo,kvc westerlo,kvc westerlo,100.0,beerhot,42.10526315789473,Belgium,Pro League,Beerschot - Belgium - Pro League.png,KVC Westerlo,"KVC Westerlo, Belgium",51.094091,4.92812145796815
Sporting Charleroi,sporting charleroi,r charleroi,75.86206896551724,zulte waregem,32.25806451612904,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Sporting Charleroi,"Sporting Charleroi, Belgium",50.430829700000004,4.554946344530915
Sint-Truidense VV,sint truidense vv,sint truidense vv,100.0,zulte waregem,27.58620689655172,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Sint-Truidense VV,"Sint-Truidense VV, Belgium",,
Lierse SK,lierse sk,odense bk,55.55555555555556,zulte waregem,36.36363636363637,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Lierse SK,"Lierse SK, Belgium",,
KAS Eupen,kas eupen,kas eupen,100.0,krc genk,47.05882352941176,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,KAS Eupen,"KAS Eupen, Belgium",50.6263653,6.0453424
Oud-Heverlee Leuven,oud heverlee leuven,oud heverlee leuven,100.0,zulte waregem,38.70967741935484,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Oud-Heverlee Leuven,"Oud-Heverlee Leuven, Belgium",50.8376275,4.6629253
Waasland-Beveren,waasland beveren,slovan liberec,60.0,beerhot,36.36363636363637,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Waasland-Beveren,"Waasland-Beveren, Belgium",51.21469245,4.2438512697469255
KV Oostende,kv oostende,kv oostende,100.0,krc genk,42.10526315789473,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,KV Oostende,"KV Oostende, Belgium",51.2258565,2.919496
Manchester United,manchester united,manchester united,100.0,beerhot,33.333333333333336,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Manchester United,"Manchester United, Belgium",,
Newcastle United,newcastle united,newcastle united,100.0,zulte waregem,34.48275862068966,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Newcastle United,"Newcastle United, Belgium",,
