id,team_api_id,team_fifa_api_id,team_long_name,team_short_name,transfers_name,matched_team,match_score,country,league,logo_filename
1,9987,673.0,KRC Genk,GEN,KRC Genk,krc genk,100.0,Belgium,Jupiler Pro League,KRC Genk - Belgium - Jupiler Pro League.png
2,9993,675.0,Beerschot AC,BAC,Beerschot AC,beerhot v.a.,73.6842105263158,Belgium,Jupiler Pro League,Beerschot V.A. - Belgium - Jupiler Pro League.png
3,10000,15005.0,SV Zulte-Waregem,ZUL,Zulte Waregem,sv zulte waregem,96.7741935483871,Belgium,Jupiler Pro League,SV Zulte Waregem - Belgium - Jupiler Pro League.png
4,9994,2007.0,Sporting Lokeren,LOK,KSC Lokeren,sporting cp,66.66666666666667,Portugal,Liga Portugal,Sporting CP - Portugal - Liga Portugal.png
5,9984,1750.0,KSV Cercle Brugge,CEB,Club Brugge,club brugge,64.28571428571428,Belgium,Jupiler Pro League,Club Brugge - Belgium - Jupiler Pro League.png
6,8635,229.0,RSC Anderlecht,AND,RSC Anderlecht,r anderlecht,100.0,Belgium,Jupiler Pro League,RSC Anderlecht - Belgium - Jupiler Pro League.png
7,9991,674.0,KAA Gent,GEN,KAA Gent,krc genk,62.5,Belgium,Jupiler Pro League,KRC Genk - Belgium - Jupiler Pro League.png
8,9998,1747.0,RAEC Mons,MON,,as mono,62.5,France,Ligue 1,AS Monaco - France - Ligue 1.png
9,7947,,FCV Dender EH,DEN,,v dender eh,100.0,Belgium,Jupiler Pro League,FCV Dender EH - Belgium - Jupiler Pro League.png
10,9985,232.0,Standard de Liège,STL,Standard Liège,standard liege,90.32258064516128,Belgium,Jupiler Pro League,Standard Liège - Belgium - Jupiler Pro League.png
11,8203,110724.0,KV Mechelen,MEC,KV Mechelen,kv mechelen,100.0,Belgium,Jupiler Pro League,KV Mechelen - Belgium - Jupiler Pro League.png
12,8342,231.0,Club Brugge KV,CLB,Club Brugge,club brugge,88.0,Belgium,Jupiler Pro League,Club Brugge - Belgium - Jupiler Pro League.png
13,9999,546.0,KSV Roeselare,ROS,,kv mechelen,58.33333333333333,Belgium,Jupiler Pro League,KV Mechelen - Belgium - Jupiler Pro League.png
14,8571,100081.0,KV Kortrijk,KOR,,kv kortrijk,100.0,Belgium,Jupiler Pro League,KV Kortrijk - Belgium - Jupiler Pro League.png
15,4049,,Tubize,TUB,,vizela,50.0,Portugal,Liga Portugal,FC Vizela - Portugal - Liga Portugal.png
16,9996,111560.0,Royal Excel Mouscron,MOU,Exc. Mouscron,royal antwerp,51.61290322580645,Belgium,Jupiler Pro League,Royal Antwerp - Belgium - Jupiler Pro League.png
17,10001,681.0,KVC Westerlo,WES,KVC Westerlo,kvc westerlo,100.0,Belgium,Jupiler Pro League,KVC Westerlo - Belgium - Jupiler Pro League.png
18,9986,670.0,Sporting Charleroi,CHA,RSC Charleroi,r charleroi,75.86206896551724,Belgium,Jupiler Pro League,R Charleroi SC - Belgium - Jupiler Pro League.png
614,9997,680.0,Sint-Truidense VV,STT,,sinttruidense vv,100.0,Belgium,Jupiler Pro League,Sint-Truidense VV - Belgium - Jupiler Pro League.png
1034,9989,239.0,Lierse SK,LIE,Lierse SK,lillestrm sk,66.66666666666667,Norway,Eliteserien,Lillestrøm SK - Norway - Eliteserien.png
1042,6351,2013.0,KAS Eupen,EUP,KAS Eupen,kas eupen,100.0,Belgium,Jupiler Pro League,KAS Eupen - Belgium - Jupiler Pro League.png
