id,country_id,name,transfers_name
1,1,Belgium Jupiler League,Jupiler Pro League
1729,1729,England Premier League,Premier League 
4769,4769,France Ligue 1,Ligue 1
7809,7809,Germany 1. Bundesliga,1.Bundesliga
10257,10257,Italy Serie A,Serie A
13274,13274,Netherlands Eredivisie,Eredivisie
15722,15722,Poland Ekstraklasa,Ekstraklasa
17642,17642,Portugal Liga ZON Sagres,Portugal
19694,19694,Scotland Premier League,Scotland
21518,21518,Spain LIGA BBVA,LaLiga
24558,24558,Switzerland Super League,Super League
